"Level";"Experience"
1;120
2;180
3;240
4;360
5;600
6;960
7;1200
8;2400
9;3600
10;8400
11;12000
12;14400
13;18000
14;21600
15;22646
16;32203
17;37433
18;47556
19;56609
20;68772
21;70515
22;75936
23;97733
24;114836
25;120853
26;123981
27;126720
28;145878
29;173436
30;197646
31;202451
32;212160
33;244190
34;285823
35;305986
36;312864
37;324480
38;366168
39;433959
40;460590
41;506738
42;569994
43;728527
44;850829
45;916479
46;935118
47;940800
48;1076593
49;1272780
50;1357994
51;1384861
52;1478400
53;1632438
54;1903104
55;2066042
56;2104924
57;1921085
58;2417202
59;2853462
60;3054574
61;3111217
62;3225600
63;3810962
64;4437896
65;4880605
66;4970962
67;5107200
68;5652518
69;6579162
70;6877991
71;7100700
72;7157657
73;9106860
74;10596398
75;11220549
76;11409192
77;11424000
78;12882952
79;15172807
80;15896990
81;16163799
82;16800000
83;19230280
84;22365208
85;23819312
86;24219528
87;24864000
88;27200077
89;32033165
90;33723801
91;34291317
92;34944000
93;39463523
94;45878567
95;48924236
96;49729220
97;51072000
98;55808379
99;64870058
100;68391931
101;69537026
102;76422968
103;96950789
104;112676755
105;120090482
106;121798280
107;127680000
108;137446887
109;193715970
110;408832150
111;454674685
112;461125885
113;469189885
114;477253885
115;480479485
116;485317885
117;493381885
118;580580046
119;717424987
120;282274058
121;338728870
122;406474644
123;487769572
124;585323487
125;702388184
126;842865821
127;1011438985
128;1073741823
129;1073741823
130;8589134588
131;25767403764
132;77302211292
133;231906633876
134;347859950814
135;521789926221
136;782684889332
137;0
